Name,Groundedness,Density,Groups,Comment,Length,Creator,Creation Date,Modifier,Modification Date
1.1.1-define model purpose & Problem context,4,1,PRT item,,411,egould,1/05/2020,egould,1/05/2020
1.2.1-Identify model interest group,2,1,PRT item,,254,egould,1/05/2020,egould,1/05/2020
1.2.2 - Model Scope and Scale,2,1,PRT item,,1087,egould,1/05/2020,egould,1/05/2020
1.2.3-Logistical Constraints,2,1,PRT item,,360,egould,1/05/2020,egould,1/05/2020
1.3.1-Explain analytical objectives,0,0,PRT item,,33,egould,1/05/2020,egould,1/05/2020
1.3.2-Identify outcomes to evaluate decisions under scenarios,1,1,PRT item,,470,egould,1/05/2020,egould,1/05/2020
2.4.1-Collate available data sources that could be used to parameterise or structure the model,3,1,PRT item,,405,egould,7/05/2020,egould,7/05/2020
2.4.2-Data Processing and Preparation,1,0,PRT item,,148,egould,7/05/2020,egould,7/05/2020
2.4.3-Describe any data exploration or preliminary data analyses.,1,1,PRT item,,578,egould,7/05/2020,egould,7/05/2020
2.4.4-Data Evaluation,2,1,PRT item,,634,egould,7/05/2020,egould,7/05/2020
3.2.1-Explain how you will operationalise response variable(s),1,1,PRT item,,592,egould,7/05/2020,egould,7/05/2020
3.2.3-Choose model family,3,1,PRT item,,505,egould,7/05/2020,egould,8/05/2020
3.2.3-Choose model features,3,1,PRT item,,436,egould,7/05/2020,egould,8/05/2020
