Number,Name,Text Content,Document,Codes,Number of Codes,Comment,Start position,End position,Creator,Creation Date,Modifier,Modification Date
2:5,Translate conceptual model into quantitative model. Decision point: what modelling structure is used…,Translate conceptual model into quantitative model. Decision point: what modelling structure is used. What is in or out of scope. ,case 2,"3.6-formalise_specify_model: specify formal model, decision_point",2,,209,339,egould,21/04/2020,egould,21/04/2020
3:5,Usually at same time as step 2. Collate available data sources that could be used to parameterise th…,Usually at same time as step 2. Collate available data sources that could be used to parameterise the model. ,case 3,"2.4-define_conceptual_model: prior knowledge data specification and evaluation, decision_point",2,,209,318,egould,21/04/2020,egould,21/04/2020
4:5,Use hierarchy of data. - Published literature / grey on species in same location. - Data on same spe…,Use hierarchy of data. - Published literature / grey on species in same location. - Data on same species but different location. - Similar species same or different location but relevant. - expert elicited estimates.,case 4,"2.4-define_conceptual_model: prior knowledge data specification and evaluation, 3.1-formalise_specify_model: choose model class, framework and approach, decision_point",3,,209,425,egould,21/04/2020,egould,21/04/2020
5:5,Parameterise model using various methods depending on data sources. This may include development of…,Parameterise model using various methods depending on data sources. This may include development of statistical models. Evaluate model behaviour given input estimates in collaboration with experts. ,case 5,"4.3-model_calibration_fitting_checking: Implementation verification, decision_point",2,"""Parameterise model using various methods depending on data sources. This may include development of statistical models.""The form of evaluation described here is not checking but evaluation in the commmonky used sense.Highlights the iterative nature of model development",209,407,egould,21/04/2020,egould,21/04/2020
6:5,Identify alternative management alternatives (often with end users). Set up model scenarios for comp…,Identify alternative management alternatives (often with end users). Set up model scenarios for comparison and run.,case 6,"1.4-problem_formulation: define candidate actions decisions, 1.5-problem_formulation: specify scenarios, 6.3-model_application: Scenario analysis and simulation, decision_point",4,"This is interesting that the step was listed in practice as occurring after model development and parameterisation. I think this is important… Moallemi say it should go first, in the problem formulation phase, and I think that it should go there too in order to avoid any sort of QRP’s. However, I guess maybe there are insights that can be gained from the knowledge development process that might inform whether the candidate actions and scenarios are relevant / need to be altered and refined to match the nuances of the model. Perhaps there could be a stage in model evaluation that involves reviewing the specified scenarios and candidate actions.",209,324,egould,21/04/2020,egould,21/04/2020
7:5,Sensitivity analysis. Evaluate model sensitivity using 3 methods. - deterministic sensitivity (vital…,Sensitivity analysis. Evaluate model sensitivity using 3 methods. - deterministic sensitivity (vital rates). - Stochastic sensitivity (variability in the model). - Scenario sensitivity (effect of changes based on scenarios).,case 7,"5.7-model_validation_evaluation: sensitivity analysis and uncertainty analysis, decision_point",2,,209,433,egould,21/04/2020,egould,21/04/2020
8:5,Expert Evaluation of of rankings of scenarios and model behaviour.,Expert Evaluation of of rankings of scenarios and model behaviour.,case 8,"6.1-model_application: choose performance criteria for scenario analysis, 6.2-model_application: expert / client / stakeholder evaluation, decision_point",3,"Is this an additional phase or step here? Some at the workshop thought that there was a missing component at the end of the model development cycle, and that was to evaluate with the experts, stakeholders or clients.",209,275,egould,21/04/2020,egould,21/04/2020
9:8,who is this for? Who is involved in formulation? Who needs buy in.,who is this for? Who is involved in formulation? Who needs buy in.,case 9,"1.2-problem_formulation: specify modelling context, group_sheet_decision_point",2,,301,367,egould,21/04/2020,egould,21/04/2020
11:5,"Learn what the questions were originally and what was done, including and constraints with the data.","Learn what the questions were originally and what was done, including and constraints with the data. ",case 11,"1.2-problem_formulation: specify modelling context, 1.3.1-problem_formulation: explain analytical objectives, decision_point, PRT item",4,pre-existing data. Taking over a project.,295,396,egould,21/04/2020,egould,21/04/2020
12:5,"Understand the data: how many samples, how arranged, replication, variation, covariates. Includes so…","Understand the data: how many samples, how arranged, replication, variation, covariates. Includes some data summary figures / tables. Discuss with data collectors.",case 12,"2.4-define_conceptual_model: prior knowledge data specification and evaluation, decision_point",2,,295,458,egould,21/04/2020,egould,21/04/2020
