group,id,project,individual_sheet_phase,decision_point,sheet_step_number,group_sheet_phase,group_sheet_decision_point,group_sheet_similar,group_sheet_item_id
MDA,1,Develop PVA model for a threatened species to explore the relative benefits of alternative management actions towards persistence of the species.,2,Develop a conceptual model of the understanding of the history of the species and how threats / management influence different demographic processes. Build in collaboration with species experts. ,1,problem_formulation-1,within project description,GS-1,2
MDA,1,Develop PVA model for a threatened species to explore the relative benefits of alternative management actions towards persistence of the species.,3,Translate conceptual model into quantitative model. Decision point: what modelling structure is used. What is in or out of scope. ,2,NA,NA,NA,NA
MDA,1,Develop PVA model for a threatened species to explore the relative benefits of alternative management actions towards persistence of the species.,4,Usually at same time as step 2. Collate available data sources that could be used to parameterise the model. ,3,NA,NA,NA,NA
MDA,1,Develop PVA model for a threatened species to explore the relative benefits of alternative management actions towards persistence of the species.,4,Use hierarchy of data. - Published literature / grey on species in same location. - Data on same species but different location. - Similar species same or different location but relevant. - expert elicited estimates.,4,NA,NA,NA,NA
MDA,1,Develop PVA model for a threatened species to explore the relative benefits of alternative management actions towards persistence of the species.,5,Parameterise model using various methods depending on data sources. This may include development of statistical models. Evaluate model behaviour given input estimates in collaboration with experts. ,5,NA,NA,NA,NA
MDA,1,Develop PVA model for a threatened species to explore the relative benefits of alternative management actions towards persistence of the species.,6,Identify alternative management alternatives (often with end users). Set up model scenarios for comparison and run.,6,NA,NA,NA,NA
MDA,1,Develop PVA model for a threatened species to explore the relative benefits of alternative management actions towards persistence of the species.,4,Sensitivity analysis. Evaluate model sensitivity using 3 methods. - deterministic sensitivity (vital rates). - Stochastic sensitivity (variability in the model). - Scenario sensitivity (effect of changes based on scenarios).,7,NA,NA,NA,NA
MDA,1,Develop PVA model for a threatened species to explore the relative benefits of alternative management actions towards persistence of the species.,5,Expert Evaluation of of rankings of scenarios and model behaviour.,8,NA,NA,NA,NA
MDA,1,Develop PVA model for a threatened species to explore the relative benefits of alternative management actions towards persistence of the species.,NA,NA,NA,problem_formulation-1,who is this for? Who is involved in formulation? Who needs buy in.,NA,9
MDA,1,Develop PVA model for a threatened species to explore the relative benefits of alternative management actions towards persistence of the species.,NA,"Document methods and results, caveats and assumptions",9,NA,NA,NA,NA
