"","phase","step","Name","Comment","response"
"1",1,0,"1-problem_formulation","Problem Formulation - specifies the decision-making context in which the model will be used, the clients driving model development or stakeholders addressed by the model. It also includes specification of model outputs, statements of the domain of applicability of the model, as well as the extent by which model outputs may be acceptably extrapolated (Grimm et al. 2014).",""
"2",1,1,"1.1-problem_formulation: define model purpose","Defining the purpose of the model is critical because the model purpose influences choices at later stages of model development [@Jakeman:2006ii]. Common model purposes in ecology include: gaining a better qualitative understanding of the target system, knowledge synthesis and review, and providing guidance for management and decision-making [@Jakeman:2006ii] (could also see Addison paper on the use of models). Note that modelling objectives are distinct from the analytical objectives of the model.    ",""
"3",1,1,"1.1.1-define model purpose & Problem context","Provide a clear statement of the modelling objectives and problem that the model seeks to illuminate. What is the purpose of the model/s? Ensure that you specify any focal taxa and study objectives, as well as any clients for whom the model is developed for. Briefly outline the ecological problem and the decision-problem, including the decision-trigger and any regulatory frameworks relevant to the problem.",""
"4",1,2,"1.2-problem_formulation: specify modelling context","The scope of the model, including temporal and spatial resolutions are defined here [@Mahmoud2009], and any limitations on model development analysis and flexibility should be outlined here [@Jakeman:2006ii].   Note that the modelling context is different from the problem context.",""
"5",1,2,"1.2.1-Identify model interest group","Identify interest groups in the modelling context. This includes clients, and end-users of the model.Who is the model for, who is involved in formulating the model? Who needs buy in?Describe the decision-making context in which the model will be used.",""
"6",1,2,"1.2.2 - Model Scope and Scale","Determine the temporal and spatial scope of the model. Where is the boundary of the modelled system? Everything beyond the boundary and not crossing it is to be ignored within the domain of the model, and everything crossing the boundary is to be treated as external forcing (known/unknown), or else as model outputs (observed, or not, Jakeman et al. 2006).The choice of a model’s boundaries is closely linked to the choice of how finely to aggregate the behaviour within the model (Jakeman et al., 2006) - what is the intended scale and resolution of the model (temporal, spatial or otherwise)?Explain how any key concepts or terms within problem or decision-making contexts, such as regulatory terms, will be operationalised and defined in a biologically meaningful way to answer the research question appropriately? (Should this last step go here or within define conceptual framework?).What is the intended domain of applicability of the model, what is the extent of acceptable extrapolations (Grimm)? This is relevant to model transferability... (similar to a COG statement..)",""
"7",1,2,"1.2.3-Logistical Constraints","Time-frame - When must the model by completed, e.g. to help make a decision?What effort and resources are available for both developing the model and operating the model? What degree of flexibility is required from the model? Might the model need to be quickly reconfigured to explore new scenarios or problems proposed by clients / managers / model-users?",""
"8",1,3,"1.3.1-problem_formulation: explain analytical objectives","How will the model be analysed, what analytical questions will the model be used to answer? Examples from ecological decision-making include: To compare the performance of alternative management actions under budget constraint [@Fraser:2017jf]. To search for ‘robust’ decisions under model uncertainty [@McDonald-Madden2008]. To choose the conservation policy that minimises uncertainty [insert ref]. See other examples in Moallemi et al. 2019 & ask Libby and others.   ",""
"9",1,3,"1.3.1-Explain analytical objectives","Explain the analytical objectives",""
"10",1,3,"1.3.2-Identify outcomes to evaluate decisions under scenarios","The outcomes should speak directly to the analytical objectives identified in 1.3.1. Outcomes could be qualitative or quantitative, and include descriptive statistic measures, satisficing measures or regret measures (Moallemi et al. 2019). For example, a model outcome in the top 10th percentile of worst conditions, or some minimum performance threshold for meeting a performance objective, or choosing a decision with the minimum regret or least amount of uncertainty.",""
"11",1,4,"1.4-problem_formulation: define candidate actions decisions","Candidate decisions should be investigated and are specified a priori. Depending on the modelling context, they may be specified by stakeholders, model users or the analyst[@Moallemi2019]. Describe the method used to identify relevant management actions.",""
"12",1,5,"1.5-problem_formulation: specify scenarios","Specify scenarios under which decisions are investigated. Scenarios should be set a priori (i.e. before the model is built, [@Moallemi2019]) and may be stakeholder-defined or expert judgment-driven [@Mahmoud2009]. ",""
"13",2,0,"2.0-define_conceptual_model","Define Conceptual Model - conceptual models underpin the formal or quantitative model (Cartwright et al. 2016). The conceptual model describes the biological mechanisms relevant to the ecological problem and should capture basic premises about how the target system works, including any prior knowledge and assumptions about system processes. Conceptual models may be representeed in a variety of formats, such as influence diagrams, linguistic model block diagram or bond graphs, and these illustrate how model drivers are linked to both outputs or observed responses, and internal (state) variables (Jakeman, Letcher, and Norton, 2006).",""
"14",2,1,"2.1-define_conceptual_model: choose elicitation and representation method","Describe what method you will use to elicit or identify the conceptual model. Some common methods include interviews, drawings, and mapping techniques including influence diagrams, cognitive maps and Bayesian belief networks (Moon et al. 2019). (Libby, to provide link to any structured expert elicitation methods).While itt is difficult to decide and justify which method is most appropriate, however Moon et al. (2019) provide guidance addressing this methodological question. Finally, how do you intend on representing the final conceptual model? This will likely depend on the method chosen to elicit the conceptual model.",""
"15",2,2,"2.2:define_conceptual_model: specify key assumptions uncertainties","This step should list and explain the critical conceptual design decisions, including: “spatial and temporal scales, selection of entities and processes, representation of stochasticity and heterogeneity, consideration of local versus global interactions, environmental drivers, etc.” [@Grimm:2014es]. The influence of particular theories, concepts, or importantly, earlier models, should be explained and justified against alternative conceptual design decisions that might lead to alternative model structures [@Grimm:2014es].Specify key assumptions and uncertainties underlying the model’s design. Describe how uncertainty and variation will be represented in this model. This includes both exogenous uncertainties affecting the system, parametric uncertainty in input data and structural / conceptual nonparametric uncertainty in the model [@Moallemi2019]. ",""
"16",2,3,"2.3-define_conceptual_model: identify predictor response variables","Identify and define system variables structures).: i) What variables will support this decision or action (things we can control). ii) What additional variables may interact with this system (things we can’t control, but can hopefully measure). iii) In what ways do we expect these variables to interact (model structures). The identification and definition of primary model input variables should be driven by scenario definitions, and by the scope of the model described in the problem formulation phase [@Mahmoud2009].",""
"17",2,4,"2.4-define_conceptual_model: prior knowledge data specification and evaluation","Collect, process and prepare data available for parameterisation, determining model structure, and for scenario analysis.",""
"18",2,4,"2.4.1-Collate available data sources that could be used to parameterise or structure the model","Document the identity, quantity and provenance of any data used to develop, identify and test the model. Describe how the data is arranged, in terms of replication and covariates. Explain how you will summarise what data and knowledge will be used to designa and parameterise the model, including references, data sources, and information about whom, when and where those data were collected [@Grimm:14es]",""
"19",2,4,"2.4.2-Data Processing and Preparation","Describe any data preparation and processing steps, including manipulation of environmental layers, e.g. standardisatino and geographic projection.",""
"20",2,4,"2.4.3-Describe any data exploration or preliminary data analyses.","In most modelling cases, it is necessary to perform preliminary analyses to understand the data and check that assumptions and requirements of the chosen modelling procedures are met. Data exploration prior to model fitting or development may include exploratory analyses to check for collinearity, spatial and temporal coverage, quality and resolution, outliers, or the need for transformations [@Yates2018]. Describe how you will summarise and explore your data, and explain what method you will use (graphical, tabular or otherwise) to represent your data and any analyses.",""
"21",2,4,"2.4.4-Data Evaluation","Describe how you will evaluate the quality and sources of both numerical and qualitative data that available for model parameterisation, and for determining the overall model structure [@Grimm:2014es]. Ideally, model input data should be internally consistent across temporal and spatial scales and resolutions, and appropriate to the problem at hand [@Mahmoud2009]. Document any issues with data reliability. This is important because data quality and ecological relevance might be constrained by measurement error, inappropriate experimental design, and heterogeneity and variability inherent in ecological systems [@Grimm:2014es].",""
"22",2,5,"2.5-define_conceptual_model: conceptual model evaluation","Describe how the model will be critically evaluated. Evaluation includes both the overall model structure, and any submodels if relevant. How will any simplifying assumptiosn be critically assessed[@Augusiak:2014gz]? Explain whether this process will include consultation or feedback from a client, manager, or model user.",""
"23",2,6,"2.6-define_conceptual_model: iterative link","Do we need to include any PRT items that speak to expert elicitation or not?",""
"24",3,0,"3.0-formalise_specify_model","Formalise and Specify Model - Critical decisions are made here about the type of model, modelling framework and approach to be used. The model is formalised into a mathematical / statistical description of the system and respective changes it can experience (Mahmoud et al. 2009). In this section describe what quantitative methods you will use to build the model/s, explain how they are relevant to the client/manager/user’s purpose.",""
"25",3,0,"3.2-Choose model features and family","All modelling approaches require the selection of model features, which conform with the conceptual model and data specified in previous steps (Jakeman 2006). The choice of model are determined in conjunction with features are selected.Usually difficult to change fundamental features of a model beyond an early stage of model development, so careful thought and planning here is useful to the modeller (Jakeman, 2006). However, if changes to these fundamental aspects of the model do need to change, please document how and why these choices were made.",""
